Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
R-19	NULL	35.83787	-106.28542	7066.300	NULL	2000-09-19 00:00:00	1877.40	NULL	NULL	NULL	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	A	NULL	[84]		Well Info	
R-19 OB	Intermediate	35.83787	-106.28542	7066.300	NULL	NULL	NULL	NULL	NULL	NULL	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-19 S1	Intermediate	35.83787	-106.28542	7066.300	Qbog	NULL	NULL	NULL	827.2	843.600	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
R-19 S2	Intermediate	35.83787	-106.28542	7066.3	Tp	NULL	NULL	NULL	893.3	909.600	NULL, NULL, original x, y, z = 1629920.1,1760250, 7066.9, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-19 S3	Regional	35.83787	-106.28542	7066.300	Tpf	NULL	NULL	NULL	1171.4	1215.400	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
R-19 S4	Regional	35.83787	-106.28542	7066.300	Tpf	NULL	NULL	NULL	1410.2	1417.400	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
R-19 S5	Regional	35.83787	-106.28542	7066.300	Tpf	NULL	NULL	NULL	1582.6	1589.800	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
R-19 S6	Regional	35.83787	-106.28542	7066.300	Tpf	NULL	NULL	NULL	1726.8	1733.900	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
R-19 S7	Regional	35.83787	-106.28542	7066.300	Tpf	NULL	NULL	NULL	1832.4	1839.500	Location info taken from Brass Cap survey data in R-19 WCR., NULL, Location info taken from Brass Cap survey data in R-19 WCR., Location info taken from Brass Cap survey data in R-19 WCR.	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
R-2	Regional	35.8874	-106.28679	6770.38	Tpf	2003-10-28 00:00:00	943.30	4.5	906.4	929.600	NULL, Well Development information from the field can be found in \\win.lanl.gov\dfs root\Pueblo\GWFA\Hard forms\Construction\R-2\Final Well IM Forms2., Brass Cap xyz data taken by Lynn Engineering using static GPS elevation NGVD29., Brass Cap xyz data taken by Lynn Engineering using static GPS elevation NGVD29., Brass Cap xyz data taken by Lynn Engineering using static GPS elevation NGVD29.	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-20	NULL	35.83635	-106.25871	6694.350	NULL	2002-09-09 00:00:00	1195	4.5	NULL	NULL	Location info taken from Brass Monument survey data from R-20 WCR., R-20 original completed depth is 1353.3 ft; after 2007 rehab total depth is 1195 ft (to K-packer), Location info taken from Brass Monument survey data from R-20 WCR., Location info taken from Brass Monument survey data from R-20 WCR.	NULL	TA-54	Pajarito	A	NULL	[84]		Well Info	
R-20 OB	Regional	35.83635	-106.25871	6694.350	NULL	NULL	NULL	NULL	NULL	NULL	Location info taken from Brass Monument survey data from R-20 WCR., NULL, Location info taken from Brass Monument survey data from R-20 WCR., Location info taken from Brass Monument survey data from R-20 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-20 S1	Regional	35.83635	-106.25871	6694.35	Tb4	NULL	NULL	NULL	904.6	912.200	NULL, NULL, Location info taken from Brass Monument survey data from R-20 WCR., Location info taken from Brass Monument survey data from R-20 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-20 S2	Regional	35.83635	-106.25871	6694.35	Tjfp	NULL	NULL	NULL	1147.1	1154.700	NULL, NULL, Location info taken from Brass Monument survey data from R-20 WCR., Location info taken from Brass Monument survey data from R-20 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-20 S3	Regional	35.83635	-106.25871	6694.35	Tcar	NULL	NULL	NULL	1328.8	1336.500	NULL, NULL, Location info taken from Brass Monument survey data from R-20 WCR., Location info taken from Brass Monument survey data from R-20 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-21	Regional	35.83483	-106.24707	6656.24	Tp	2002-11-26 00:00:00	941.40	6	888.8	906.800	NULL, Site restoration dates from WCR, Location info taken from Brass Monument survey data from R-21 WCR., Location info taken from Brass Monument survey data from R-21 WCR.	NULL	TA-54	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-22 OB	Regional	35.82925	-106.23344	6650.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Location info taken from Brass cap survey data from R-22 WCR., Location info taken from Brass cap survey data from R-22 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW	Well Info	
R-22 S1	Regional	35.82925	-106.23344	6650.5	Tb4	NULL	NULL	NULL	872.3	914.200	NULL, NULL, Location info taken from Brass cap survey data from R-22 WCR., Location info taken from Brass cap survey data from R-22 WCR., original x, y = 1645327, 1757112	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-22 S2	Regional	35.82925	-106.23344	6650.5	Tb4	NULL	NULL	NULL	947	988.900	NULL, NULL, original x, y = 1645327, 1757112, Location info taken from Brass cap survey data from R-22 WCR., Location info taken from Brass cap survey data from R-22 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-22 S3	Regional	35.82925	-106.23344	6650.5	Tcar	NULL	NULL	NULL	1272.2	1278.900	NULL, NULL, original x, y = 1645327, 1757112, Location info taken from Brass cap survey data from R-22 WCR., Location info taken from Brass cap survey data from R-22 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-22 S4	Regional	35.82925	-106.23344	6650.5	Tb2	NULL	NULL	NULL	1378.2	1384.900	NULL, NULL, original x, y = 1645327, 1757112, Location info taken from Brass cap survey data from R-22 WCR., Location info taken from Brass cap survey data from R-22 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-22 S5	Regional	35.82925	-106.23344	6650.5	Tcar	NULL	NULL	NULL	1447.3	1452.300	NULL, NULL, original x, y = 1645327, 1757112, Location info taken from Brass cap survey data from R-22 WCR., Location info taken from Brass cap survey data from R-22 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-23	Regional	35.8239	-106.22471	6527.75	Tpt	2002-10-02 00:00:00	886.30	4.5	816	873.200	NULL, NULL, Brass Monument location, Brass Monument location	NULL	TA-54	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-23i OB	Intermediate	35.82385	-106.22476	6527.880	NULL	NULL	NULL	NULL	NULL	NULL	Brass Cap location Kleinfelder survey, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	TA-54	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-23i PZ-1	NULL	35.82385	-106.22476	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-54	Mortendad	NULL	NULL	[84]		Well Info	
R-23i S1	Intermediate	35.82385	-106.22476	6527.88	Tb4	NULL	NULL	NULL	400.3	420.000	NULL, NULL, 4.5 inch casing. This corresponds to LANL's R-23i S2, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-23i S2	Intermediate	35.82385	-106.22476	6527.88	Tb4	NULL	NULL	NULL	470.2	480.100	NULL, NULL, 4.5 inch casing. This corresponds to LANL's R-23i S3, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-23i S3	Intermediate	35.82385	-106.22476	6527.880	Tb4	NULL	NULL	NULL	524	547.000	Brass Cap location Kleinfelder survey, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	TA-54	Mortendad	NULL	NULL	[84]		Well Info	
R-24	Regional	35.88551	-106.23941	6547.38	Tsf	2005-09-12 00:00:00	861.00	4.46	825	848.000	NULL, NULL, Kleinfelder survey Brass Cap location, Kleinfelder survey Brass Cap location, Brass cap	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-28	Regional	35.86015	-106.25482	6728.61	Tpf	2003-12-17 00:00:00	980.30	4.5	934.3	958.100	NULL, NULL, original x, y, z = 1638357.25, 1768449.74, 6756, Location info taken from Brass cap monument survey data from R-28 WCR., Location info taken from Brass cap monument survey data from R-28 WCR.	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-3	Regional	35.87179	-106.2209	6395.88	Tsf	2010-06-21 00:00:00	1006.80	5 in	974.5	995.000	NULL, NULL, Brass cap survey location, Planned CY05 Location, Brass cap survey location	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
R-32 OB	Regional	35.83095	-106.24872	6637.630	NULL	NULL	NULL	NULL	NULL	NULL	Location info taken from Brass cap monument survey data from R-32 WCR., NULL, Location info taken from Brass cap monument survey data from R-32 WCR., Location info taken from Brass cap monument survey data from R-32 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-32 S1	Regional	35.83095	-106.24872	6637.63	Tpt	NULL	NULL	NULL	867.5	875.200	NULL, NULL, Location info taken from Brass cap monument survey data from R-32 WCR., Location info taken from Brass cap monument survey data from R-32 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-32 S2	Regional	35.83095	-106.24872	6637.630	Tpf	NULL	NULL	NULL	931.8	934.900	Location info taken from Brass cap monument survey data from R-32 WCR., NULL, Location info taken from Brass cap monument survey data from R-32 WCR., Location info taken from Brass cap monument survey data from R-32 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
R-32 S3	Regional	35.83095	-106.24872	6637.630	Tpf	NULL	NULL	NULL	972.9	980.600	Location info taken from Brass cap monument survey data from R-32 WCR., NULL, Location info taken from Brass cap monument survey data from R-32 WCR., Location info taken from Brass cap monument survey data from R-32 WCR.	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
R-33 S1	Regional	35.86062	-106.27368	6853.33	Tpp	NULL	NULL	NULL	995.5	1018.500	NULL, NULL, Location on mesa top near PM-5, Location info taken from Brass cap monument survey data from R-33 WCR., Location info taken from Brass cap monument survey data from R-33 WCR.	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-33 S2	Regional	35.86062	-106.27368	6853.33	Tpp	NULL	NULL	NULL	1112.4	1122.300	NULL, NULL, Location on mesa top near PM-5, Location info taken from Brass cap monument survey data from R-33 WCR., Location info taken from Brass cap monument survey data from R-33 WCR.	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-34	Regional	35.84825	-106.23927	6629.99	Tpp	2004-09-10 00:00:00	920.70	4.5	883.7	906.600	NULL, R-34 completed depth is 920.7 ft from the completion report, Figure 7.2-1., San I Property., Location info taken from Brass cap monument survey data from R-34 WCR., Location info taken from Brass cap monument survey data from R-34 WCR.	NULL	General	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-35a	Regional	35.86276	-106.24355	6623.06	Tsfu	2007-06-22 00:00:00	1086.20	4.5	1013.1	1062.200	NULL, NULL, Brass monument survey  Resurvey 02/10/09, ER GIS, Brass monument survey  Resurvey 02/10/09	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-35b	Regional	35.8628	-106.24386	6625.21	Tpf	2007-07-11 00:00:00	872.20	4.5	825.4	848.500	NULL, NULL, Brass monument survey  resurvey 02/10/09, Brass monument survey  resurvey 02/10/09, ER GIS	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-36	Regional	35.85844	-106.23822	6591.37	Tsfu	2008-02-12 00:00:00	803.70	4.5	766.9	789.900	NULL, Preliminary data // ref elev is brass cap shown in WCR: 6589.91, Brass cap location resurvey of 2/10/09, Brass cap location resurvey of 2/10/09	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-37 S1	Intermediate	35.84437	-106.25873	6870.59	Tpf	NULL	NULL	NULL	929.3	950.000	NULL, NULL, Brass monument location, Brass monument location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-37 S2	Regional	35.84437	-106.25873	6870.59	Tpf	NULL	NULL	NULL	1026	1046.600	NULL, NULL, Brass monument location, Brass monument location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-38	Regional	35.83783	-106.24804	6668.58	Tpf	2008-12-07 00:00:00	853.40	5	821.2	831.200	NULL, NULL, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-39	Regional	35.82754	-106.23455	6580.86	Tpf	2008-11-24 00:00:00	875.60	5	859	869.000	NULL, NULL, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-3i	Intermediate	35.87179	-106.22037	6390.15	Tb4	2005-08-16 00:00:00	220.34	2 in	215.2	220.000	NULL, New hole based on R-3 drilling activities, Brass monument survey from R-3i WCR, Brass monument survey from R-3i WCR, Brass monument survey from R-3i WCR	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
R-3i OB	Intermediate	35.87179	-106.22037	6390.150	NULL	NULL	NULL	NULL	NULL	NULL	Brass monument survey from R-3i WCR, NULL, Brass monument survey from R-3i WCR, Brass monument survey from R-3i WCR	NULL	General	Los Alamos	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-4	Regional	35.8826	-106.25381	6577.49	Tp	2004-01-06 00:00:00	840.00	4.5 in	792.9	816.000	NULL, NULL, Inactive emergency landing strip in Pueblo Canyon; TA-74. Location info taken from Brass cap monument survey data from R-4 WCR., Inactive emergency landing strip in Pueblo Canyon; TA-74. Location info taken from Brass cap monument survey data from R-4 WCR.	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
R-4 OB	Regional	35.8826	-106.25381	6577.490	NULL	NULL	NULL	NULL	NULL	NULL	Inactive emergency landing strip in Pueblo Canyon; TA-74. Location info taken from Brass cap monument survey data from R-4 WCR., NULL, Inactive emergency landing strip in Pueblo Canyon; TA-74. Location info taken from Brass cap monument survey data from R-4 WCR., Inactive emergency landing strip in Pueblo Canyon; TA-74. Location info taken from Brass cap monument survey data from R-4 WCR.	NULL	General	Los Alamos	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
R-40	NULL	35.83939	-106.26278	6719.240	NULL	2009-01-05 00:00:00	895.00	5	NULL	NULL	Brass cap location, Dual screen 5, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	A	NULL	[84]		Well Info	
R-40 S1	Intermediate	35.83939	-106.26278	6719.24	Tb4	NULL	NULL	NULL	751.59	785.060	NULL, NULL, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-40 S2	Regional	35.83939	-106.26278	6719.24	Tpf	NULL	NULL	NULL	849.27	870.000	NULL, NULL, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-40 Si	Intermediate	35.83939	-106.26278	6719.240	Tb4	NULL	NULL	NULL	649.67	669.020	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
R-40i	NULL	35.83937	-106.26278	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-54	Pajarito	NULL	NULL	[84]		Well Info	
R-41	NULL	35.83099	-106.23381	6660.530	NULL	2009-03-19 00:00:00	997.10	5	NULL	NULL	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	A	NULL	[84]		Well Info	
R-41 S1	Intermediate	35.83099	-106.23381	6660.530	Tsf	NULL	NULL	NULL	928	937.700	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]		Well Info	
R-41 S2	Regional	35.83099	-106.23381	6660.53	Tpt	NULL	NULL	NULL	965.3	975.000	NULL, NULL, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-42	Regional	35.86129	-106.25914	6759.02	Tsfuv	2008-08-27 00:00:00	973.50	5	931.8	952.900	NULL, NULL, Brass Monument, Brass Monument	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-43	NULL	35.8636	-106.26073	6732.650	NULL	2008-10-17 00:00:00	990.40	5	NULL	NULL	Brass Cap location, Dual screen completion, Brass Cap location, Brass Cap location	NULL	Chromium	Sandia	A	NULL	[84]		Well Info	
R-43 S1	Regional	35.8636	-106.26073	6732.65	Tsfu	NULL	NULL	NULL	903.9	924.600	NULL, NULL, Brass Cap location, Brass Cap location	NULL	Chromium	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-43 S2	Regional	35.8636	-106.26073	6732.65	Tsfu	NULL	NULL	NULL	969.1	979.100	NULL, NULL, Brass Cap location, Brass Cap location	NULL	Chromium	Sandia	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-44 S1	Regional	35.85672	-106.2512	6714.91	Tpf	NULL	NULL	NULL	895	905.000	NULL, NULL, Brass cap location, Brass cap location	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-44 S2	Regional	35.85672	-106.2512	6714.91	Tpf	NULL	NULL	NULL	985.3	995.200	NULL, NULL, Brass cap location, Brass cap location	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-45 S1	Regional	35.85921	-106.25056	6704.02	Tpf	NULL	NULL	NULL	880	890.000	NULL, NULL, Brass cap location, Brass cap location	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-45 S2	Regional	35.85921	-106.25056	6704.02	Tjfp	NULL	NULL	NULL	974.9	994.900	NULL, NULL, Brass cap location, Brass cap location	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-46	Regional	35.85966	-106.29382	7213.33	Tpf	2009-02-26 00:00:00	1382.2	5	1340	1360.700	NULL, NULL, Brass cap location, Brass cap location	NULL	MDA C	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-49	NULL	35.8273	-106.23825	6584.540	NULL	2009-06-01 00:00:00	949.30	5	NULL	NULL	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	A	NULL	[84]		Well Info	
R-49 S1	Regional	35.8273	-106.23825	6584.54	Tb4	NULL	NULL	NULL	845	855.000	NULL, NULL, Brass cap location, Brass cap location, Coordinates supplied by Dave Broxton	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-49 S2	Regional	35.8273	-106.23825	6584.54	Tpt	NULL	NULL	NULL	905.6	926.400	NULL, NULL, Coordinates supplied by Dave Broxton, Brass cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-5	NULL	35.87307	-106.22877	6472.600	NULL	2001-05-23 00:00:00	884.00	4.5	NULL	NULL	Location info taken from Brass cap monument survey data from R-5 WCR., NULL, Location info taken from Brass cap monument survey data from R-5 WCR., Location info taken from Brass cap monument survey data from R-5 WCR.	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
R-5 OB	Intermediate	35.87307	-106.22877	6472.6	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Location info taken from Brass cap monument survey data from R-5 WCR., Location info taken from Brass cap monument survey data from R-5 WCR.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW	Well Info	
R-5 S1	Intermediate	35.87307	-106.22877	6472.600	Tp	NULL	NULL	NULL	326.4	331.500	Location info taken from Brass cap monument survey data from R-5 WCR., NULL, Location info taken from Brass cap monument survey data from R-5 WCR., Location info taken from Brass cap monument survey data from R-5 WCR.	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
R-5 S2	Intermediate	35.87307	-106.22877	6472.6	Tp	NULL	NULL	NULL	372.8	388.800	NULL, NULL, Location info taken from Brass cap monument survey data from R-5 WCR., Location info taken from Brass cap monument survey data from R-5 WCR., Original x, y = 1646709, 1773061	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-5 S3	Regional	35.87307	-106.22877	6472.6	Tsf	NULL	NULL	NULL	676.9	720.300	NULL, NULL, Location info taken from Brass cap monument survey data from R-5 WCR., Original x, y = 1646709, 1773061, Location info taken from Brass cap monument survey data from R-5 WCR.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-5 S4	Regional	35.87307	-106.22877	6472.6	Tsfb	NULL	NULL	NULL	858.7	863.700	NULL, NULL, Location info taken from Brass cap monument survey data from R-5 WCR., Location info taken from Brass cap monument survey data from R-5 WCR., Original x, y = 1646709, 1773061	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-50 S1	Regional	35.85666	-106.25591	6904.11	Tpf	NULL	NULL	NULL	1077	1087.000	NULL, NULL, Brass cap location, Brass Cap location, Brass Cap location	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-50 S2	Regional	35.85666	-106.25591	6904.11	Tsfu	NULL	NULL	NULL	1185	1205.600	NULL, NULL, Brass cap location, Brass Cap location, Brass Cap location	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-51 S1	Regional	35.84263	-106.26934	6762.17	Tpf	NULL	NULL	NULL	914.96	925.240	NULL, NULL, brass cap location, brass cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-51 S2	Regional	35.84263	-106.26934	6762.17	Tpf	NULL	NULL	NULL	1030.96	1041.000	NULL, NULL, brass cap location, Brass cap location, brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-52 S1	Regional	35.84495	-106.26157	6883.04	Tpf	NULL	NULL	NULL	1035.2	1055.700	NULL, NULL, Brass cap location, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-52 S2	Regional	35.84495	-106.26157	6883.04	Tpf	NULL	NULL	NULL	1107	1117.000	NULL, NULL, Brass cap location, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-53 S1	Regional	35.8368	-106.25104	6689.98	Tpf	NULL	NULL	NULL	849.2	859.200	NULL, NULL, estimated location pending survey, brass cap location, brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-53 S2	Regional	35.8368	-106.25104	6689.98	Tpf	NULL	NULL	NULL	959.7	980.200	NULL, NULL, brass cap location, estimated location pending survey, brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-54 S1	Regional	35.83609	-106.25544	6679.85	Tpf	NULL	NULL	NULL	830	840.000	NULL, NULL, Brass Cap location, Brass cap location, Brass Cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-54 S2	Regional	35.83609	-106.25544	6679.85	Tpf	NULL	NULL	NULL	915	925.000	NULL, NULL, Brass Cap location, Brass Cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-55 S1	Regional	35.82969	-106.22751	6533.86	Tpt	NULL	NULL	NULL	860	880.600	NULL, NULL, Brass cap surveyed location, brass cap surveyed location, brass cap surveyed location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-55 S2	Regional	35.82969	-106.22751	6533.86	Tcar	NULL	NULL	NULL	994.4	1015.400	NULL, NULL, Brass cap surveyed location, brass cap surveyed location, brass cap surveyed location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-55i	Intermediate	35.82993	-106.22774	6534.91	Tb4	2011-01-18 00:00:00	541.40	5	510	531.100	NULL, NULL, Brass cap surveyed location as corrected 2/16/11 and rounded to 2 digits - RJK, Brass cap surveyed location as corrected 2/16/11 and rounded to 2 digits - RJK, Brass cap surveyed location as corrected 2/16/11 and rounded to 2 digits - RJK	NULL	TA-54	Mortendad	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW	Well Info	
R-56	NULL	35.83456	-106.24969	6780.880	NULL	2010-07-19 00:00:00	1078.80	5	NULL	NULL	brass cap location, NULL, brass cap location, brass cap location	NULL	TA-54	Mortendad	A	NULL	[84]		Well Info	
R-56 S1	Regional	35.83456	-106.24969	6780.88	Tpf	NULL	NULL	NULL	945	965.600	NULL, NULL, brass cap location, brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-56 S2	Regional	35.83456	-106.24969	6780.88	Tpf	NULL	NULL	NULL	1046.6	1067.100	NULL, NULL, brass cap location, Brass cap location, brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-57 S1	Regional	35.82987	-106.23417	6648.04	Tb4	NULL	NULL	NULL	910	930.500	NULL, NULL, Brass cap location, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
